ID,chanceWeight
0,0
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,52
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,47
100,46
100,46
100,46
100,46
100,67
100,67
100,67
100,67
100,67
100,67
100,67
100,67
100,46
100,46
100,67
100,67
100,46
100,46
100,46
100,46
100,46
100,67
100,67
100,67
100,46
100,46
100,67
100,67
100,67
100,67
100,67
100,67
100,67
100,67
100,67
100,67
100,67
100,46
100,46
100,46
100,46
100,46
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,46
100,46
100,46
100,46
100,46
100,46
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,46
100,46
100,67
100,46
100,46
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,39
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,37
100,39
100,46
100,46
100,67
100,46
100,46
100,46
100,46
100,46
100,67
100,67
100,67
100,67
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
100,10
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,52
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,47
110,46
110,46
110,46
110,46
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,46
110,46
110,53
110,53
110,46
110,46
110,46
110,46
110,46
110,53
110,53
110,53
110,46
110,46
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,46
110,46
110,46
110,46
110,46
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,46
110,46
110,46
110,46
110,46
110,46
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,46
110,46
110,53
110,46
110,46
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,39
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,30
110,39
110,46
110,46
110,53
110,46
110,46
110,46
110,46
110,46
110,53
110,53
110,53
110,53
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,9
110,20
110,20
110,20
110,20
110,20
110,20
110,20
110,20
110,20
110,20
110,53
110,53
110,53
110,53
110,53
110,53
110,53
110,53
